iter	RMSE
0	0.8689290839
1	0.7360511089
2	0.6678317073
3	0.6356786196
4	0.6216471591
5	0.6081204986
6	0.6023917948
7	0.5969342678
8	0.5932129643
9	0.5906453208
10	0.5885755531
11	0.5863844904
12	0.5847194634
13	0.5838969195
14	0.5819889308
15	0.5804374748
16	0.5788795576
17	0.5771104695
18	0.5750409725
19	0.5736070356
20	0.571675162
21	0.5701979824
22	0.5681677864
23	0.5666314628
24	0.5648499302
25	0.5639853406
26	0.5621673907
27	0.5609117927
28	0.5594737168
29	0.5583258185
30	0.5562968897
31	0.5545977358
32	0.5534906032
33	0.5526935633
34	0.5514343232
35	0.5500031201
36	0.5486167818
37	0.547427694
38	0.5466355236
39	0.5458037638
40	0.5445920741
41	0.5437022422
42	0.5424249446
43	0.5413853452
44	0.5403103398
45	0.5396187461
46	0.538787031
47	0.5374173551
48	0.5361672082
49	0.5353894459
50	0.5348594407
51	0.534042307
52	0.5332204939
53	0.5325024416
54	0.5316349163
55	0.5310266709
56	0.5304040417
57	0.5299704053
58	0.5291476348
59	0.5284117985
60	0.5279155412
61	0.526822492
62	0.5259057882
63	0.5251207856
64	0.5242049673
65	0.5233700212
66	0.522496109
67	0.5219384064
68	0.5209654463
69	0.5200969434
70	0.5192017718
71	0.5183025021
