iter	Passed	Remaining
0	21	1505
1	29	1018
2	36	850
3	44	757
4	52	700
5	59	656
6	67	622
7	74	596
8	81	572
9	89	553
10	96	535
11	104	520
12	111	505
13	119	493
14	126	480
15	134	470
16	142	460
17	149	449
18	157	438
19	164	428
20	172	418
21	179	409
22	187	398
23	194	389
24	201	379
25	209	370
26	217	361
27	224	352
28	232	344
29	239	335
30	248	328
31	256	320
32	266	315
33	275	307
34	284	300
35	291	291
36	299	282
37	306	273
38	313	265
39	321	257
40	329	249
41	337	240
42	345	232
43	352	224
44	359	215
45	367	207
46	374	199
47	382	191
48	389	182
49	397	174
50	404	166
51	412	158
52	419	150
53	427	142
54	434	134
55	442	126
56	450	118
57	458	110
58	467	103
59	475	95
60	483	87
61	491	79
62	499	71
63	506	63
64	513	55
65	521	47
66	528	39
67	535	31
68	543	23
69	551	15
70	559	7
71	566	0
